8,1.4101e-21
8,3.1529e-22
0.39656,8
7.3313,8
1.3445,8
5.1924,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
6.478,6.8624
-3.7075e-21,8.6802e-22
-5.7431e-21,2.1846e-22
3.4914e-21,2.3964e-21
-6.7239e-21,1.9339e-21
-1.0717e-20,5.6051e-21
4.0106e-21,-2.6202e-21
8.9623e-21,-8.7901e-21
1.9195e-20,-4.3671e-22
2.8647e-21,-6.031e-21
-4.4649e-21,1.2672e-20
-1.3713e-20,-3.9865e-22
4.6706e-21,7.0479e-21
-1.0208e-20,3.5624e-21
-6.4264e-21,-3.6601e-21
-1.2045e-21,-1.6954e-21
0.26256,-1.3077e-20
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,5.821
8,1.801
8,8
8,8
8,8
7.6728,8
1.8064,8
0,0
