12,0.21817
12,0.21817
11.426,0.21817
1.4718e-21,-0.21817
2.7409e-22,-0.21817
0,-0.21817
0,-0.21817
0,-0.21817
7.217e-22,-0.21817
0,-0.21817
0,-0.21817
7.9341,0.21817
12,0.1032
12,-0.028531
12,-0.089522
12,-0.11186
12,-0.11432
12,-0.10699
12,-0.095362
12,-0.082388
12,-0.06966
12,-0.057976
12,-0.047682
12,-0.038861
12,-0.031453
12,-0.025328
12,-0.020323
12,-0.016275
12,-0.013025
12,-0.010434
12,-0.0083798
12,-0.0067583
12,-0.0054834
12,-0.004484
12,-0.0037024
12,-0.0030923
12,-0.0026163
12,-0.002245
12,-0.001955
12,-0.0017282
12,-0.0015501
12,-0.0014097
12,-0.0012984
12,-0.0012096
12,-0.0011385
12,-0.0010813
12,-0.0010354
12,-0.00099893
12,-0.00097085
12,-0.00095052
12,-0.00093791
12,-0.00093326
12,-0.00093713
0,-0.21817
12,-0.00058182
3.5319e-21,-0.21817
12,2.5975e-05
12,0.00036762
6.75e-22,-0.21817
12,0.0018412
0,-0.21817
9.6445e-22,-0.21817
5.2148e-22,-0.21817
8.8242e-22,-0.21817
0,-0.21817
8.367,-0.027158
0,-0.21817
12,0.0052443
12,0.0034585
12,0.0023298
12,0.0016552
12,0.001299
12,0.0011726
12,0.001221
12,0.0014138
12,0.0017386
12,0.0021975
12,0.0028048
12,0.0035858
12,0.0045765
12,0.0058235
12,0.0073844
12,0.0093278
12,0.011732
12,0.014683
12,0.018268
12,0.022568
12,0.027634
12,0.033467
12,0.03996
12,0.04683
12,0.053495
12,0.058885
12,0.061138
12,0.057105
12,0.041532
12,0.0053059
10.132,-0.078107
6.6217,-0.21817
12,-0.21817
0,0
